web-scraper-order,web-scraper-start-url,Produkt,Produkt-href,Beskrivelse,Pris,Tilbud,Image-src,Navn
"1582404291-89","https://www.komplett.no/kampanje/ukens-beste-kjoep","Acer Nitro 5 15,6"" FHD 120 Hz
                    
                        GeForce GTX 1650, Core i5-9300H, 8 GB RAM, 512 GB PCIe SSD, Windows 10 Home","https://www.komplett.no/product/1139177/gaming/gaming-pc/baerbar/acer-nitro-5-156-fhd-120-hz","GeForce GTX 1650, Core i5-9300H, 8 GB RAM, 512 GB PCIe SSD, Windows 10 Home","Før 9 990,-","8 990,-","/img/p/800/1139177.jpg","Acer Nitro 5 15,6"" FHD 120 Hz"
"1582404299-93","https://www.komplett.no/kampanje/ukens-beste-kjoep","Sennheiser PC 360 SE Gaming Headset
                    
                        Profesjonelt gamingheadset som leverer toppmoderne lydytelse. Det er utformet for å møte og overgå behovene til en konkurransespiller.","https://www.komplett.no/product/951374/gaming/gaming-utstyr/gaming-headset/sennheiser-pc-360-se-gaming-headset","3,5 mm minijack, dreibar mik, støydempet, konsoll, pc, mobil","Før 1 190,-","890,-","/img/p/800/951374.jpg","Sennheiser PC 360 SE Gaming Headset"
"1582404266-79","https://www.komplett.no/kampanje/ukens-beste-kjoep","Amazfit GTR 47mm Stainless Steel
                    
                        Inkludert CRAVE Octane Sport. Sort","https://www.komplett.no/product/1152795/mobiler-klokker/smartklokker/amazfit-gtr-47mm-stainless-steel","Inkludert CRAVE Octane Sport. Sort","Før 2 339,-","1 990,-","","Amazfit GTR 47mm Stainless Steel"
"1582404254-74","https://www.komplett.no/kampanje/ukens-beste-kjoep","ASKO Craft Black Steel pyrolyseovn OP8664B
                    
                        Inkludert induksjonsplate HI16317M","https://www.komplett.no/product/1151219/hvitevarer/stekeovner/asko-craft-black-steel-pyrolyseovn-op8664b","Inkludert induksjonsplate HI16317M","Før 26 280,-","11 999,-","/img/p/800/1151219.jpg","ASKO Craft Black Steel pyrolyseovn OP8664B"
"1582404259-76","https://www.komplett.no/kampanje/ukens-beste-kjoep","Kenwood Titanium XL KVL8361S
                    
                        Kjøkkenmaskin, 1700 W, lys i bollen, masse tilbehør","https://www.komplett.no/product/1132634/hjem-fritid/kjoekkenapparater/kjoekkenmaskiner/kenwood-titanium-xl-kvl8361s","Kjøkkenmaskin, 1700 W, lys i bollen, masse tilbehør","Før 8 990,-","7 890,-","/img/p/800/1132634.jpg","Kenwood Titanium XL KVL8361S"
"1582404284-86","https://www.komplett.no/kampanje/ukens-beste-kjoep","Komplett Premium i190 Gaming PC
                    
                        Gaming
                    

                    
                        
                            
                            (4)","https://www.komplett.no/product/1110048/pc-nettbrett/komplett-pc/komplett-gamer-premium/komplett-premium-i190-gaming-pc","GeForce RTX 2080 SUPER, Core i7-9700K, 16GB, 1TB SSD, Windows 10 Home","Før 23 499,-","19 999,-","/img/p/800/1110048.jpg","Komplett Premium i190 Gaming PC"
"1582404293-90","https://www.komplett.no/kampanje/ukens-beste-kjoep","ASUS E407MA 14"" FHD
                    
                        Pentium N5000 Quad Core, 4GB RAM, 128GB SSD, Windows 10 Home","https://www.komplett.no/product/1139197/pc-nettbrett/pc-baerbar-laptop/ultraportable/asus-e407ma-14-fhd","Pentium N5000 Quad Core, 4GB RAM, 128GB SSD, Windows 10 Home","Før 4 290,-","3 790,-","/img/p/800/1139197.jpg","ASUS E407MA 14"" FHD"
"1582404276-82","https://www.komplett.no/kampanje/ukens-beste-kjoep","LG 65"" NanoCell TV 65SM8200
                    
                        Super Ultra-HD(4K), WebOS
                    

                    
                        
                            
                            (2)","https://www.komplett.no/product/1130531/tv-lyd-bilde/tv-video/tv-er/lg-65-nanocell-tv-65sm8200","Super Ultra-HD(4K), WebOS","Før 14 990,-","8 690,-","/img/p/800/1130531.jpg","LG 65"" NanoCell TV 65SM8200"
"1582404297-92","https://www.komplett.no/kampanje/ukens-beste-kjoep","Corsair Gaming K68 RGB Gamingtastatur
                    
                        Kablet, nordisk, Cherry MX red, RGB-belysning, mekanisk gamingtastatur
                    

                    
                        
                            
                            (2)","https://www.komplett.no/product/977674/gaming/gaming-utstyr/gaming-tastatur/corsair-gaming-k68-rgb-tastatur","usb a, nordisk, cherry mx red, vannbestandig, rgb, mekanisk gaming tastatur","Før 1 399,-","999,-","/img/p/800/977674.jpg","Corsair Gaming K68 RGB Tastatur"
"1582404274-81","https://www.komplett.no/kampanje/ukens-beste-kjoep","Sony WH-H910 trådløse hodetelefoner
                    
                        Støyreduksjon med Dual Noise Sensor + 35 timers batterilevetid","https://www.komplett.no/product/1149495/tv-lyd-bilde/hodetelefoner/hodetelefoner/sony-wh-h910-traadloese-hodetelefoner","Støyreduksjon med Dual Noise Sensor + 35 timers batterilevetid","Før 2 490,-","2 190,-","/img/p/800/1149495.jpg","Sony WH-H910 trådløse hodetelefoner"
"1582404282-85","https://www.komplett.no/kampanje/ukens-beste-kjoep","Dell Inspiron G3 15-3590 15,6"" FHD 144 Hz
                    
                        Gaming","https://www.komplett.no/product/1146642/gaming/gaming-pc/baerbar/dell-inspiron-g3-15-3590-156-fhd-144-hz","GeForce GTX 1660 Ti, Core i7-9750H, 16 GB RAM, 256 GB SSD, 1 TB HDD, W10 Home","Før 14 990,-","13 490,-","/img/p/800/1146642.jpg","Dell Inspiron G3 15-3590 15,6"" FHD 144 Hz"
"1582404264-78","https://www.komplett.no/kampanje/ukens-beste-kjoep","Sonos One SL Stereo
                    
                        Pakke med 2 stk. Sonos One SL smarthøyttalere. Sort","https://www.komplett.no/product/1147549/tv-lyd-bilde/hoeyttalere/multiroom/sonos-one-sl-stereo","Pakke med 2 stk. Sonos One SL smarthøyttalere. Sort","Før 3 995,-","3 395,-","","Sonos One SL Stereo"
"1582404304-95","https://www.komplett.no/kampanje/ukens-beste-kjoep","Asus RT-AC88U Router
                    
                        Ultra-Fast 802.11ac, 3167 Mbps, MU-MIMO, AiMesh
                    

                    
                        
                            
                            (15)","https://www.komplett.no/product/867566/datautstyr/nettverk/routere/asus-rt-ac88u-router","Ultra-Fast 802.11ac, 3167 Mbps, MU-MIMO, AiMesh","Før 2 590,-","1 990,-","","Asus RT-AC88U Router"
"1582404288-88","https://www.komplett.no/kampanje/ukens-beste-kjoep","Huawei MediaPad T5 10.1"" 32GB WIFI
                    
                        10.1"" FHD skjerm (1920x1200), 3GB RAM/32GB lagring, Android 8.0","https://www.komplett.no/product/1137460/pc-nettbrett/nettbrett-ipad-eboklesere/nettbrett-ipad/huawei-mediapad-t5-101-32gb-wifi","10.1"" FHD skjerm (1920x1200), 3GB RAM/32GB lagring, Android 8.0","Før 1 790,-","1 490,-","/img/p/800/1137460.jpg","Huawei MediaPad T5 10.1"" 32GB WIFI"
"1582404286-87","https://www.komplett.no/kampanje/ukens-beste-kjoep","HP Pavilion x360 14-dh1004no 14"" FHD touch (sølv)
                    
                        Core i3-10110U, 4GB RAM, 256GB PCIe SSD, Active Pen, Windows 10 Home","https://www.komplett.no/product/1139600/pc-nettbrett/pc-baerbar-laptop/2-i-1-pc/hp-pavilion-x360-14-dh1004no-14-fhd-touch-soelv","Core i3-10110U, 4GB RAM, 256GB PCIe SSD, Active Pen, Windows 10 Home","Før 6 990,-","6 290,-","/img/p/800/1139600.jpg","HP Pavilion x360 14-dh1004no 14"" FHD touch (sølv)"
"1582404278-83","https://www.komplett.no/kampanje/ukens-beste-kjoep","Google Nest Hub (Charcoal)
                    
                        Stemmestyrt smarthøyttaler som mange ønsker seg. Styr alt fra lys til lyd til sikkerhet i huset ditt med Google Nest Hub.
                    

                    
                        
                            
                            (1)","https://www.komplett.no/product/1130468/hjem-fritid/smarte-hjem/smarthoeyttalere/google-nest-hub-charcoal","Stemmestyrt smarthøyttaler med 7"" skjerm. Google Assistant. Android/iOS.","Før 1 189,-","999,-","/img/p/800/1130468.jpg","Google Nest Hub (Charcoal)"
"1582404306-96","https://www.komplett.no/kampanje/ukens-beste-kjoep","Samsung 32"" Curved skjerm C32F39M
                    
                        1920x1080 VA, 4ms, 3000:1, FreeSync, Fjernkontroll, Speakers, 2xHDMI","https://www.komplett.no/product/1151642/gaming/gaming-utstyr/gamingskjermer/samsung-32-curved-skjerm-c32f39m","1920x1080 VA, 4ms, 3000:1, FreeSync, Fjernkontroll, Speakers, 2xHDMI","Før 2 995,-","1 995,-","/img/p/800/1151642.jpg","Samsung 32"" Curved skjerm C32F39M"
"1582404257-75","https://www.komplett.no/kampanje/ukens-beste-kjoep","Kärcher K5 Premium Full Control Plus - Høytrykkspyler
                    
                        Utstyrt med LCD display, knapper til justering av trykk og dosering av såpe.
                    

                    
                        
                            
                            (2)","https://www.komplett.no/product/914860/hjem-fritid/hage/hoeytrykkspylere/karcher-k5-premium-full-control-plus","Høytrykkspyler, 145bar/500 liter, slangetrommel, inkl terrassevasker","null","4 990,-","/img/p/800/914860.jpg","Kärcher K5 Premium Full Control Plus"
"1582404261-77","https://www.komplett.no/kampanje/ukens-beste-kjoep","Ring Video Doorbell 2 smart ringeklokke
                    
                        Wifi, 1080p kamera, mikrofon, høyttaler, nattesyn, livevisning, bevegelsessensor
                    

                    
                        
                            
                            (21)","https://www.komplett.no/product/965121/hjem-fritid/smarte-hjem/alarm-sikkerhet/ringeklokker/ring-video-doorbell-2-smart-ringeklokke","Wifi, 1080p kamera, mikrofon, høyttaler, nattesyn, livevisning, bevegelsessensor","Før 1 959,-","1 499,-","/img/p/800/965121.jpg","Ring Video Doorbell 2 smart ringeklokke"
"1582404295-91","https://www.komplett.no/kampanje/ukens-beste-kjoep","Corsair Gaming Nightsword RGB Mus
                    
                        usb, 10 programmerbare knapper, 18000 dpi, rgb lys, optisk gaming mus","https://www.komplett.no/product/1129459/gaming/gaming-utstyr/gaming-mus/corsair-gaming-nightsword-rgb-mus","usb, 10 programmerbare knapper, 18000 dpi, rgb lys, optisk gaming mus","Før 799,-","599,-","/img/p/800/1129459.jpg","Corsair Gaming Nightsword RGB Mus"
"1582404252-73","https://www.komplett.no/kampanje/ukens-beste-kjoep","Arlo Pro 2 + 4 overvåkningskameraer
                    
                        1080p, IP65, Nattsyn, Batteri","https://www.komplett.no/product/974678/hjem-fritid/smarte-hjem/alarm-sikkerhet/overvaakningskameraer/arlo-pro-2-4-overvaakningskameraer","1080p, IP65, Nattsyn, Batteri","null","7 490,-","/img/p/800/974678.jpg","Arlo Pro 2 + 4 overvåkningskameraer"
"1582404280-84","https://www.komplett.no/kampanje/ukens-beste-kjoep","Sennheiser Momentum True Wireless
                    
                        Trådløse øreplugger. Bluetooth, 4 t. batteritid, ladeetui, USB-C. Sort
                    

                    
                        
                            
                            (5)","https://www.komplett.no/product/1100716/tv-lyd-bilde/hodetelefoner/hodetelefoner/sennheiser-momentum-true-wireless","Trådløse øreplugger. Bluetooth, 4 t. batteritid, ladeetui, USB-C. Sort","null","2 490,-","/img/p/800/1100716.jpg","Sennheiser Momentum True Wireless"
"1582404269-80","https://www.komplett.no/kampanje/ukens-beste-kjoep","DJI Osmo Action
                    
                        4K HDR Video, 4K 60p, Dual Screen. Inkl. 2 batterier","https://www.komplett.no/product/1138259/foto-video/kameraer/videokameraer/dji-osmo-action","4K HDR Video, 4K 60p, Dual Screen. Inkl. 2 batterier","null","3 999,-","/img/p/800/1138259.jpg","DJI Osmo Action"
"1582404301-94","https://www.komplett.no/kampanje/ukens-beste-kjoep","PlayStation 4 Pro 1TB Sort
                    
                        Oppdag den kraftigste PlayStation-konsollen som noen gang er laget med raskere bildefrekvens og utrolig 4K-grafikk.
                    

                    
                        
                            
                            (19)","https://www.komplett.no/product/899752/gaming/playstation/playstation-4-pro-1tb-sort","PS4, 1TB HDD, håndkontroll, monoøreplugg, HDMI-kabel, Fortnite Voucher","Før 3 989,-","3 590,-","/img/p/800/899752.jpg","PlayStation 4 Pro 1TB Sort"
